fips,name,race,total,location,priority
01010,ALSIP,Hispanic/Latino,5056,SOUTHWEST,NO
01010,ALSIP,Non-Hispanic Asian,359,SOUTHWEST,NO
01010,ALSIP,Non-Hispanic Black,4235,SOUTHWEST,NO
01010,ALSIP,Non-Hispanic Multiracial,452,SOUTHWEST,NO
01010,ALSIP,Non-Hispanic Other,66,SOUTHWEST,NO
01010,ALSIP,Non-Hispanic White,8895,SOUTHWEST,NO
02154,ARLINGTON HEIGHTS,Hispanic/Latino,5388,NORTH,NO
02154,ARLINGTON HEIGHTS,Non-Hispanic Asian,8323,NORTH,NO
02154,ARLINGTON HEIGHTS,Non-Hispanic Black,1195,NORTH,NO
02154,ARLINGTON HEIGHTS,Non-Hispanic Multiracial,2160,NORTH,NO
02154,ARLINGTON HEIGHTS,Non-Hispanic Other,277,NORTH,NO
02154,ARLINGTON HEIGHTS,Non-Hispanic White,60333,NORTH,NO
03883,BARRINGTON HILLS,Hispanic/Latino,112,NORTH,NO
03883,BARRINGTON HILLS,Non-Hispanic Asian,241,NORTH,NO
03883,BARRINGTON HILLS,Non-Hispanic Black,15,NORTH,NO
03883,BARRINGTON HILLS,Non-Hispanic Multiracial,50,NORTH,NO
03883,BARRINGTON HILLS,Non-Hispanic Other,13,NORTH,NO
03883,BARRINGTON HILLS,Non-Hispanic White,1721,NORTH,NO
03844,BARRINGTON,Hispanic/Latino,388,NORTH,NO
03844,BARRINGTON,Non-Hispanic Asian,390,NORTH,NO
03844,BARRINGTON,Non-Hispanic Black,69,NORTH,NO
03844,BARRINGTON,Non-Hispanic Multiracial,198,NORTH,NO
03844,BARRINGTON,Non-Hispanic Other,8,NORTH,NO
03844,BARRINGTON,Non-Hispanic White,4803,NORTH,NO
04013,BARTLETT,Hispanic/Latino,2759,NORTH,NO
04013,BARTLETT,Non-Hispanic Asian,3492,NORTH,NO
04013,BARTLETT,Non-Hispanic Black,516,NORTH,NO
04013,BARTLETT,Non-Hispanic Multiracial,495,NORTH,NO
04013,BARTLETT,Non-Hispanic Other,62,NORTH,NO
04013,BARTLETT,Non-Hispanic White,9887,NORTH,NO
04572,BEDFORD PARK,Hispanic/Latino,222,SOUTHWEST,NO
04572,BEDFORD PARK,Non-Hispanic Asian,10,SOUTHWEST,NO
04572,BEDFORD PARK,Non-Hispanic Black,15,SOUTHWEST,NO
04572,BEDFORD PARK,Non-Hispanic Multiracial,21,SOUTHWEST,NO
04572,BEDFORD PARK,Non-Hispanic Other,2,SOUTHWEST,NO
04572,BEDFORD PARK,Non-Hispanic White,332,SOUTHWEST,NO
04975,BELLWOOD,Hispanic/Latino,5034,WEST,NO
04975,BELLWOOD,Non-Hispanic Asian,119,WEST,NO
04975,BELLWOOD,Non-Hispanic Black,12705,WEST,NO
04975,BELLWOOD,Non-Hispanic Multiracial,300,WEST,NO
04975,BELLWOOD,Non-Hispanic Other,86,WEST,NO
04975,BELLWOOD,Non-Hispanic White,545,WEST,NO
05248,BENSENVILLE,Hispanic/Latino,0,NA,NA
05248,BENSENVILLE,Non-Hispanic Asian,0,NA,NA
05248,BENSENVILLE,Non-Hispanic Black,0,NA,NA
05248,BENSENVILLE,Non-Hispanic Multiracial,0,NA,NA
05248,BENSENVILLE,Non-Hispanic Other,0,NA,NA
05248,BENSENVILLE,Non-Hispanic White,0,NA,NA
05404,BERKELEY,Hispanic/Latino,2008,WEST,NO
05404,BERKELEY,Non-Hispanic Asian,219,WEST,NO
05404,BERKELEY,Non-Hispanic Black,1718,WEST,NO
05404,BERKELEY,Non-Hispanic Multiracial,122,WEST,NO
05404,BERKELEY,Non-Hispanic Other,29,WEST,NO
05404,BERKELEY,Non-Hispanic White,1242,WEST,NO
05573,BERWYN,Hispanic/Latino,36726,WEST,NO
05573,BERWYN,Non-Hispanic Asian,1365,WEST,NO
05573,BERWYN,Non-Hispanic Black,4622,WEST,NO
05573,BERWYN,Non-Hispanic Multiracial,888,WEST,NO
05573,BERWYN,Non-Hispanic Other,277,WEST,NO
05573,BERWYN,Non-Hispanic White,13372,WEST,NO
06704,BLUE ISLAND,Hispanic/Latino,11720,SOUTHWEST,NO
06704,BLUE ISLAND,Non-Hispanic Asian,86,SOUTHWEST,NO
06704,BLUE ISLAND,Non-Hispanic Black,6817,SOUTHWEST,NO
06704,BLUE ISLAND,Non-Hispanic Multiracial,385,SOUTHWEST,NO
06704,BLUE ISLAND,Non-Hispanic Other,108,SOUTHWEST,NO
06704,BLUE ISLAND,Non-Hispanic White,3442,SOUTHWEST,NO
08225,BRIDGEVIEW,Hispanic/Latino,3991,SOUTHWEST,NO
08225,BRIDGEVIEW,Non-Hispanic Asian,564,SOUTHWEST,NO
08225,BRIDGEVIEW,Non-Hispanic Black,658,SOUTHWEST,NO
08225,BRIDGEVIEW,Non-Hispanic Multiracial,441,SOUTHWEST,NO
08225,BRIDGEVIEW,Non-Hispanic Other,86,SOUTHWEST,NO
08225,BRIDGEVIEW,Non-Hispanic White,11287,SOUTHWEST,NO
08446,BROADVIEW,Hispanic/Latino,1225,WEST,NO
08446,BROADVIEW,Non-Hispanic Asian,171,WEST,NO
08446,BROADVIEW,Non-Hispanic Black,5642,WEST,NO
08446,BROADVIEW,Non-Hispanic Multiracial,180,WEST,NO
08446,BROADVIEW,Non-Hispanic Other,41,WEST,NO
08446,BROADVIEW,Non-Hispanic White,739,WEST,NO
08576,BROOKFIELD,Hispanic/Latino,5020,WEST,NO
08576,BROOKFIELD,Non-Hispanic Asian,346,WEST,NO
08576,BROOKFIELD,Non-Hispanic Black,597,WEST,NO
08576,BROOKFIELD,Non-Hispanic Multiracial,640,WEST,NO
08576,BROOKFIELD,Non-Hispanic Other,82,WEST,NO
08576,BROOKFIELD,Non-Hispanic White,12791,WEST,NO
09447,BUFFALO GROVE,Hispanic/Latino,1799,NORTH,NO
09447,BUFFALO GROVE,Non-Hispanic Asian,1335,NORTH,NO
09447,BUFFALO GROVE,Non-Hispanic Black,205,NORTH,NO
09447,BUFFALO GROVE,Non-Hispanic Multiracial,355,NORTH,NO
09447,BUFFALO GROVE,Non-Hispanic Other,37,NORTH,NO
09447,BUFFALO GROVE,Non-Hispanic White,10081,NORTH,NO
09642,BURBANK,Hispanic/Latino,11650,SCC,NO
09642,BURBANK,Non-Hispanic Asian,906,SCC,NO
09642,BURBANK,Non-Hispanic Black,518,SCC,NO
09642,BURBANK,Non-Hispanic Multiracial,555,SCC,NO
09642,BURBANK,Non-Hispanic Other,107,SCC,NO
09642,BURBANK,Non-Hispanic White,15703,SCC,NO
09798,BURNHAM,Hispanic/Latino,1035,SOUTH,NO
09798,BURNHAM,Non-Hispanic Asian,12,SOUTH,NO
09798,BURNHAM,Non-Hispanic Black,2419,SOUTH,NO
09798,BURNHAM,Non-Hispanic Multiracial,72,SOUTH,NO
09798,BURNHAM,Non-Hispanic Other,17,SOUTH,NO
09798,BURNHAM,Non-Hispanic White,491,SOUTH,NO
09980,BURR RIDGE,Hispanic/Latino,224,WEST,NO
09980,BURR RIDGE,Non-Hispanic Asian,536,WEST,NO
09980,BURR RIDGE,Non-Hispanic Black,51,WEST,NO
09980,BURR RIDGE,Non-Hispanic Multiracial,100,WEST,NO
09980,BURR RIDGE,Non-Hispanic Other,8,WEST,NO
09980,BURR RIDGE,Non-Hispanic White,3447,WEST,NO
10487,CALUMET CITY,Hispanic/Latino,6476,SOUTH,NO
10487,CALUMET CITY,Non-Hispanic Asian,50,SOUTH,NO
10487,CALUMET CITY,Non-Hispanic Black,25959,SOUTH,NO
10487,CALUMET CITY,Non-Hispanic Multiracial,701,SOUTH,NO
10487,CALUMET CITY,Non-Hispanic Other,171,SOUTH,NO
10487,CALUMET CITY,Non-Hispanic White,2676,SOUTH,NO
10513,CALUMET PARK,Hispanic/Latino,453,SOUTHWEST,NO
10513,CALUMET PARK,Non-Hispanic Asian,5,SOUTHWEST,NO
10513,CALUMET PARK,Non-Hispanic Black,6230,SOUTHWEST,NO
10513,CALUMET PARK,Non-Hispanic Multiracial,105,SOUTHWEST,NO
10513,CALUMET PARK,Non-Hispanic Other,46,SOUTHWEST,NO
10513,CALUMET PARK,Non-Hispanic White,186,SOUTHWEST,NO
14000,CHICAGO,Hispanic/Latino,819518,SCC,NO
14000,CHICAGO,Non-Hispanic Asian,189857,SCC,NO
14000,CHICAGO,Non-Hispanic Black,787551,SCC,NO
14000,CHICAGO,Non-Hispanic Multiracial,70443,SCC,NO
14000,CHICAGO,Non-Hispanic Other,15397,SCC,NO
14000,CHICAGO,Non-Hispanic White,863622,SCC,NO
14026,CHICAGO HEIGHTS,Hispanic/Latino,10714,SOUTH,NO
14026,CHICAGO HEIGHTS,Non-Hispanic Asian,74,SOUTH,NO
14026,CHICAGO HEIGHTS,Non-Hispanic Black,11487,SOUTH,NO
14026,CHICAGO HEIGHTS,Non-Hispanic Multiracial,611,SOUTH,NO
14026,CHICAGO HEIGHTS,Non-Hispanic Other,156,SOUTH,NO
14026,CHICAGO HEIGHTS,Non-Hispanic White,4438,SOUTH,NO
14065,CHICAGO RIDGE,Hispanic/Latino,2258,SOUTHWEST,NO
14065,CHICAGO RIDGE,Non-Hispanic Asian,336,SOUTHWEST,NO
14065,CHICAGO RIDGE,Non-Hispanic Black,1388,SOUTHWEST,NO
14065,CHICAGO RIDGE,Non-Hispanic Multiracial,408,SOUTHWEST,NO
14065,CHICAGO RIDGE,Non-Hispanic Other,60,SOUTHWEST,NO
14065,CHICAGO RIDGE,Non-Hispanic White,9983,SOUTHWEST,NO
14351,CICERO,Hispanic/Latino,75890,WEST,NO
14351,CICERO,Non-Hispanic Asian,456,WEST,NO
14351,CICERO,Non-Hispanic Black,2870,WEST,NO
14351,CICERO,Non-Hispanic Multiracial,473,WEST,NO
14351,CICERO,Non-Hispanic Other,247,WEST,NO
14351,CICERO,Non-Hispanic White,5332,WEST,NO
16691,COUNTRY CLUB HILLS,Hispanic/Latino,846,SOUTH,NO
16691,COUNTRY CLUB HILLS,Non-Hispanic Asian,129,SOUTH,NO
16691,COUNTRY CLUB HILLS,Non-Hispanic Black,14365,SOUTH,NO
16691,COUNTRY CLUB HILLS,Non-Hispanic Multiracial,408,SOUTH,NO
16691,COUNTRY CLUB HILLS,Non-Hispanic Other,67,SOUTH,NO
16691,COUNTRY CLUB HILLS,Non-Hispanic White,960,SOUTH,NO
16873,COUNTRYSIDE,Hispanic/Latino,1541,WEST,NO
16873,COUNTRYSIDE,Non-Hispanic Asian,145,WEST,NO
16873,COUNTRYSIDE,Non-Hispanic Black,166,WEST,NO
16873,COUNTRYSIDE,Non-Hispanic Multiracial,133,WEST,NO
16873,COUNTRYSIDE,Non-Hispanic Other,25,WEST,NO
16873,COUNTRYSIDE,Non-Hispanic White,4410,WEST,NO
17497,CRESTWOOD,Hispanic/Latino,1548,SOUTHWEST,NO
17497,CRESTWOOD,Non-Hispanic Asian,186,SOUTHWEST,NO
17497,CRESTWOOD,Non-Hispanic Black,1084,SOUTHWEST,NO
17497,CRESTWOOD,Non-Hispanic Multiracial,266,SOUTHWEST,NO
17497,CRESTWOOD,Non-Hispanic Other,32,SOUTHWEST,NO
17497,CRESTWOOD,Non-Hispanic White,7710,SOUTHWEST,NO
17523,CRETE,Hispanic/Latino,0,NA,NA
17523,CRETE,Non-Hispanic Asian,0,NA,NA
17523,CRETE,Non-Hispanic Black,0,NA,NA
17523,CRETE,Non-Hispanic Multiracial,0,NA,NA
17523,CRETE,Non-Hispanic Other,0,NA,NA
17523,CRETE,Non-Hispanic White,0,NA,NA
19083,DEER PARK,Hispanic/Latino,1,NA,NA
